    Lp	    Lc	 Width	  Wall	File 
 0.290	 0.340	14.548	 6.930	                        
 0.690	 1.530	24.654	 0.000	                        
 1.130	 1.200	24.560	 0.000	                        
 0.820	 0.880	26.530	13.090	                        
 0.730	 0.800	22.341	10.780	                        
 1.540	 2.710	25.118	 0.000	                        
 2.810	 3.010	28.866	 8.470	                        
 1.010	 1.100	30.390	12.320	                        
 0.380	 0.460	 0.000	 0.000	                        
 0.170	 0.200	36.165	16.170	                        
 0.760	 0.810	17.223	 6.160	                        
 2.770	 2.860	36.113	16.170	                        
 2.680	 3.170	25.440	12.320	                        
 1.190	 1.890	39.555	 0.000	                        
 1.150	 1.220	20.918	 0.000	                        
 0.690	 0.730	42.263	 9.240	                        
 0.100	 0.100	 0.000	 0.000	                        
 2.070	 2.790	23.432	 0.000	                        
 0.180	 0.180	 0.000	 0.000	                        
 0.270	 0.280	17.538	 8.470	                        
 0.940	 1.590	24.042	 0.000	                        
 0.560	 0.770	20.028	 0.000	                        
 0.690	 1.020	17.639	 0.000	                        
 0.500	 0.530	18.685	 6.930	                        
 2.180	 2.710	30.236	 0.000	                        
 2.110	 2.880	43.217	19.250	                        
 0.210	 0.220	 4.816	 0.000	                        
 1.880	 2.360	34.316	16.940	                        
 0.710	 0.890	40.890	 0.000	                        
 0.660	 0.670	116.314	33.880	                        
 0.830	 0.910	28.473	 0.000	                        
 2.180	 2.610	34.162	 0.000	                        
 0.380	 0.450	21.739	 0.000	                        
 0.040	 0.040	 0.000	 0.000	                        
 0.830	 1.050	22.736	 0.000	                        
 0.520	 0.950	15.982	 0.000	                        
 1.170	 1.920	43.221	 0.000	                        
 2.220	 2.600	38.499	 0.000	                        
 0.720	 1.320	21.781	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 2.900	 3.120	20.678	 0.000	                        
 2.600	 2.650	38.135	13.860	                        
 1.760	 2.060	51.988	19.250	                        
 0.350	 0.670	12.271	 0.000	                        
 0.410	 0.450	16.765	 0.000	                        
 0.950	 1.110	20.183	10.010	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.150	 0.150	 0.000	 0.000	                        
 1.160	 2.280	28.884	 0.000	                        
 0.380	 0.830	16.177	 0.000	                        
 1.170	 1.270	35.449	10.010	                        
 1.030	 1.180	20.449	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 0.180	 0.200	17.797	 7.700	                        
 0.940	 1.120	76.561	33.880	                        
 2.060	 2.210	 0.000	 0.000	                        
 0.790	 0.980	18.155	 0.000	                        
 1.030	 1.140	26.974	 6.930	                        
 1.240	 1.390	26.832	 0.000	                        
 2.310	 2.490	 0.000	 0.000	                        
 1.530	 1.680	20.357	 0.000	                        
 0.100	 0.100	 0.000	 0.000	                        
 0.800	 1.200	16.483	 6.930	                        
 0.180	 0.180	 0.000	 0.000	                        
 0.130	 0.140	 0.000	 0.000	                        
 0.040	 0.040	 0.000	 0.000	                        
 0.610	 0.660	37.639	12.320	                        
 0.270	 0.390	 0.000	 0.000	                        
 0.980	 1.040	23.605	10.010	                        
 0.280	 0.470	14.037	 3.850	                        
 0.210	 0.230	16.807	 0.000	                        
 0.420	 0.510	27.246	 0.000	                        
 1.320	 1.510	33.518	10.010	                        
 0.220	 0.220	15.937	 3.850	                        
 0.330	 0.360	13.670	 4.620	                        
 0.520	 0.930	20.625	 0.000	                        
 0.070	 0.070	 0.000	 0.000	                        
 2.110	 2.250	 0.000	 0.000	                        
 2.730	 3.020	26.123	 0.000	                        
 1.320	 2.420	30.602	 0.000	                        
 1.630	 3.170	32.112	 0.000	                        
 0.990	 1.870	32.770	 0.000	                        
 1.760	 1.970	25.379	 0.000	                        
 1.360	 1.620	28.945	 0.000	                        
 2.450	 2.590	15.007	 0.000	                        
 1.110	 1.920	25.530	 0.000	                        
 3.350	 3.660	34.998	15.400	                        
 2.500	 2.860	28.333	 5.390	                        
 1.000	 2.370	35.801	 0.000	                        
 1.040	 1.170	19.026	 9.240	                        
 1.210	 2.360	32.202	 0.000	                        
 0.580	 0.910	20.364	 0.000	                        
 2.900	 3.260	29.109	 0.000	                        
 3.030	 3.900	22.807	 0.000	                        
 2.180	 2.500	16.225	 0.000	                        
 3.150	 3.300	34.308	16.170	                        
 0.380	 0.770	32.781	 8.470	                        
 0.820	 1.330	19.684	 0.000	                        
 0.780	 0.850	32.030	 0.000	                        
 1.320	 1.510	38.082	 0.000	                        
 1.170	 1.970	23.001	 0.000	                        
 1.450	 1.600	26.587	 0.000	                        
 0.330	 0.500	17.497	 0.000	                        
 0.750	 1.520	18.593	 0.000	                        
 1.890	 2.580	27.677	13.090	                        
 2.470	 2.650	20.486	 0.000	                        
 0.620	 1.170	20.765	 0.000	                        
 1.200	 1.520	22.215	 9.240	                        
 1.140	 1.940	51.600	23.870	                        
 2.250	 2.430	17.356	 8.470	                        
 0.800	 0.920	24.881	11.550	                        
 0.060	 0.060	 0.000	 0.000	                        
 1.370	 1.560	50.990	23.870	                        
 0.470	 0.650	41.478	10.010	                        
 0.520	 0.570	14.795	 6.930	                        
 2.610	 3.590	27.280	 0.000	                        
 0.570	 1.120	17.294	 0.000	                        
 0.590	 0.620	15.576	 7.700	                        
 0.260	 0.330	18.565	 2.310	                        
 0.560	 0.930	18.697	 8.470	                        
 1.040	 1.120	19.904	 0.000	                        
 0.900	 1.110	21.904	 0.000	                        
 1.810	 3.420	30.583	10.780	                        
 0.530	 1.110	32.466	 0.000	                        
 1.090	 1.690	23.032	 0.000	                        
 1.440	 1.980	20.226	 0.000	                        
 0.670	 0.690	18.260	 0.000	                        
 0.130	 0.130	 0.000	 0.000	                        
 1.230	 1.420	25.097	 0.000	                        
 1.110	 1.460	44.745	20.020	                        
 2.400	 2.750	27.283	 4.620	                        
 0.580	 0.690	23.008	10.010	                        
 0.950	 1.850	35.684	 0.000	                        
 0.350	 0.360	22.544	 5.390	                        
 1.230	 1.300	31.817	13.860	                        
 0.130	 0.140	 0.000	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 2.610	 3.220	39.029	 9.240	                        
 1.530	 1.630	26.841	13.090	                        
 0.140	 0.150	 0.000	 0.000	                        
 0.300	 0.510	16.335	 0.000	                        
 0.340	 0.360	13.133	 6.160	                        
 0.120	 0.130	 0.000	 0.000	                        
 0.860	 0.930	22.402	 0.000	                        
 0.360	 0.410	21.068	 0.000	                        
 1.350	 2.340	38.036	13.860	                        
 0.540	 0.560	34.085	16.170	                        
 0.460	 0.500	26.653	11.550	                        
 1.320	 1.540	27.611	 0.000	                        
 1.740	 3.120	27.518	 0.000	                        
 1.320	 1.470	23.308	11.550	                        
 1.710	 1.790	28.388	 0.000	                        
 0.810	 1.430	20.787	 0.000	                        
 0.830	 1.900	33.433	 0.000	                        
 1.780	 2.010	19.686	 0.000	                        
 0.550	 1.220	28.882	 0.000	                        
 2.120	 2.730	29.036	 0.000	                        
 0.370	 0.710	21.597	 0.000	                        
 0.820	 1.060	20.529	 0.000	                        
 3.150	 3.420	39.762	 0.000	                        
 0.850	 0.960	18.028	 0.000	                        
 3.530	 3.660	53.788	 0.000	                        
 1.460	 1.890	27.957	13.860	                        
 0.720	 1.180	36.284	 0.000	                        
 0.200	 0.220	14.092	 0.000	                        
 1.000	 1.170	34.405	 8.470	                        
 2.180	 2.340	42.992	16.170	                        
 1.700	 2.610	29.590	 0.000	                        
 0.110	 0.120	 0.000	 0.000	                        
 0.260	 0.350	15.633	 0.000	                        
 2.220	 2.330	44.315	 0.000	                        
 1.200	 2.610	27.843	 0.000	                        
 2.060	 2.190	16.325	 0.000	                        
 0.610	 0.840	32.390	14.630	                        
 0.400	 0.420	21.787	10.010	                        
 3.010	 3.340	27.738	 0.000	                        
 1.350	 2.020	40.123	10.780	                        
 0.230	 0.250	24.718	 9.240	                        
 0.580	 0.660	33.629	13.860	                        
 0.440	 0.660	14.042	 6.930	                        
 1.130	 1.210	39.767	 5.390	                        
 0.080	 0.080	 0.000	 0.000	                        
 2.760	 2.940	17.165	 0.000	                        
 1.550	 2.380	23.972	 0.000	                        
 0.760	 0.790	27.455	 0.000	                        
 0.810	 0.950	21.457	 0.000	                        
 3.440	 3.670	29.100	 0.000	                        
 0.200	 0.290	 0.000	 0.000	                        
 0.670	 0.960	25.565	 0.000	                        
 3.850	 4.040	53.536	 0.000	                        
 1.390	 2.410	35.429	 0.000	                        
 0.640	 0.720	16.221	 6.160	                        
 1.740	 2.720	31.506	 0.000	                        
 0.660	 1.290	35.560	 0.000	                        
 2.820	 2.890	25.641	12.320	                        
 1.670	 1.840	19.617	 0.000	                        
 2.010	 2.470	16.778	 6.160	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.300	 0.320	29.010	 9.240	                        
 0.930	 1.330	32.464	13.860	                        
 0.200	 0.210	12.015	 4.620	                        
 0.030	 0.030	 0.000	 0.000	                        
 0.170	 0.180	 0.000	 0.000	                        
 0.470	 1.080	46.777	 0.000	                        
 0.110	 0.110	 0.000	 0.000	                        
 1.340	 2.690	29.793	 0.000	                        
 4.000	 4.320	36.667	 0.000	                        
 1.650	 2.930	31.332	 0.000	                        
 0.750	 1.040	24.914	 0.000	                        
 0.030	 0.030	 0.000	 0.000	                        
 1.940	 2.160	30.632	 0.000	                        
 0.070	 0.080	 0.000	 0.000	                        
 0.160	 0.160	 0.000	 0.000	                        
 0.270	 0.310	26.001	10.010	                        
 0.570	 0.660	20.497	 0.000	                        
 1.230	 2.460	46.327	 0.000	                        
 0.160	 0.160	 0.000	 0.000	                        
 2.250	 3.940	10.983	 5.390	                        
 0.610	 0.810	30.213	 0.000	                        
 0.530	 0.660	18.182	 0.000	                        
 0.300	 0.350	16.573	 0.000	                        
 0.760	 0.830	52.978	25.410	                        
 1.730	 1.970	35.732	13.860	                        
 1.560	 1.920	27.324	 0.000	                        
 0.540	 0.550	17.244	 1.540	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.420	 0.450	24.465	10.010	                        
 0.860	 1.390	34.382	 0.000	                        
 1.180	 1.350	18.442	 0.000	                        
 1.590	 2.710	20.109	 0.000	                        
 0.400	 0.870	12.618	 0.000	                        
 0.680	 0.770	17.823	 8.470	                        
 0.180	 0.200	 0.000	 0.000	                        
 0.140	 0.140	 0.000	 0.000	                        
 0.710	 0.760	11.814	 0.000	                        
 2.550	 3.670	27.008	13.090	                        
 2.330	 3.330	19.174	 3.080	                        
 1.310	 2.410	46.203	15.400	                        
 0.070	 0.070	 0.000	 0.000	                        
 1.480	 1.570	18.749	 9.240	                        
 0.020	 0.020	 0.000	 0.000	                        
 1.790	 1.970	21.151	 0.000	                        
 0.570	 0.620	24.625	10.780	                        
 0.360	 0.370	20.020	 9.240	                        
 1.480	 1.660	29.486	 0.000	                        
 1.470	 1.570	35.392	10.780	                        
 0.060	 0.060	 0.000	 0.000	                        
 0.210	 0.410	15.792	 0.000	                        
 1.450	 2.450	16.991	 0.000	                        
 1.940	 3.640	21.604	 0.000	                        
 3.180	 3.470	43.397	12.320	                        
 0.900	 1.020	27.433	 0.000	                        
 1.120	 1.390	30.458	 7.700	                        
 0.640	 0.750	25.992	10.010	                        
 0.100	 0.110	 0.000	 0.000	                        
 0.250	 0.250	32.001	10.010	                        
 0.180	 0.180	 0.000	 0.000	                        
 0.180	 0.180	 0.000	 0.000	                        
 2.140	 2.270	34.566	10.780	                        
 0.340	 0.340	86.597	20.790	                        
 1.500	 1.620	23.280	11.550	                        
 0.930	 2.460	59.077	 0.000	                        
 0.640	 0.740	28.369	 3.080	                        
 0.480	 0.700	24.210	 8.470	                        
 1.690	 1.820	32.356	 0.000	                        
 0.420	 0.420	18.134	 7.700	                        
 0.170	 0.180	 0.000	 0.000	                        
 0.220	 0.240	37.057	 3.080	                        
 1.640	 2.710	26.652	 0.000	                        
 0.020	 0.020	 0.000	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 1.080	 1.170	15.588	 7.700	                        
 3.370	 3.600	37.063	 0.000	                        
 3.430	 3.670	17.674	 0.000	                        
 0.130	 0.150	 0.000	 0.000	                        
 0.040	 0.040	 0.000	 0.000	                        
 1.240	 1.410	22.497	 0.000	                        
 0.780	 0.830	19.888	 8.470	                        
 0.830	 1.810	48.220	 0.000	                        
 2.460	 2.640	18.351	 0.000	                        
 0.440	 0.750	38.983	 0.000	                        
 1.500	 1.580	37.098	 0.000	                        
 0.250	 0.360	12.666	 0.000	                        
 0.870	 1.010	20.945	 6.160	                        
 1.310	 1.360	21.828	 0.000	                        
 1.000	 1.130	28.378	 0.000	                        
 0.760	 1.190	21.726	 0.000	                        
 2.710	 2.800	27.533	10.780	                        
 0.080	 0.080	 0.000	 0.000	                        
 1.440	 1.590	21.746	 0.000	                        
 1.540	 2.220	33.015	11.550	                        
 0.310	 0.410	20.885	 8.470	                        
 1.350	 2.610	59.190	 0.000	                        
 1.380	 1.550	49.624	13.090	                        
 0.440	 0.580	31.395	13.090	                        
 0.570	 0.630	19.283	 8.470	                        
 0.260	 0.350	33.384	10.010	                        
 0.060	 0.070	 0.000	 0.000	                        
 0.630	 0.980	28.371	 0.000	                        
 1.320	 1.390	30.627	 0.000	                        
 1.370	 1.440	31.549	 0.000	                        
 0.590	 0.850	28.692	 0.000	                        
 0.860	 0.940	42.572	 9.240	                        
 0.310	 0.350	24.886	 3.850	                        
 0.170	 0.190	 0.000	 0.000	                        
 1.870	 2.280	20.839	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 1.210	 1.650	45.654	12.320	                        
 3.180	 3.400	33.721	 0.000	                        
 1.310	 1.810	19.421	 0.000	                        
 1.680	 2.390	31.750	 0.000	                        
 0.990	 1.050	39.938	17.710	                        
 0.700	 0.850	23.416	 0.000	                        
 0.110	 0.120	 0.000	 0.000	                        
 0.350	 0.420	22.843	 0.000	                        
 0.540	 0.770	21.234	 0.000	                        
 0.180	 0.180	 0.000	 0.000	                        
 2.030	 2.250	25.399	 0.000	                        
 0.820	 1.690	42.244	 0.000	                        
 0.280	 0.290	18.310	 6.930	                        
 0.980	 1.990	36.095	 0.000	                        
 0.400	 0.990	23.048	10.010	                        
 2.380	 2.960	17.145	 3.850	                        
 1.210	 1.320	22.237	 0.000	                        
 1.140	 1.840	37.752	 0.000	                        
 1.870	 2.840	35.012	 0.000	                        
 0.030	 0.030	 0.000	 0.000	                        
 1.110	 2.160	25.248	 0.000	                        
 1.130	 1.280	21.114	 5.390	                        
 1.800	 2.180	40.464	10.010	                        
 0.100	 0.100	 0.000	 0.000	                        
 0.820	 0.950	20.473	 9.240	                        
 0.410	 0.460	17.706	 0.000	                        
 0.600	 0.660	14.191	 0.000	                        
 2.430	 2.810	20.154	 6.160	                        
 0.660	 0.770	30.565	 3.080	                        
 1.030	 1.440	34.740	 0.000	                        
 1.900	 2.020	21.611	 0.000	                        
 1.540	 1.730	26.341	 0.000	                        
 1.500	 1.570	46.455	11.550	                        
 0.680	 0.790	19.581	 0.000	                        
 0.170	 0.170	 0.000	 0.000	                        
 0.180	 0.200	15.382	 5.390	                        
 0.160	 0.170	 0.000	 0.000	                        
 2.200	 2.320	46.742	10.780	                        
 0.050	 0.050	 0.000	 0.000	                        
 0.200	 0.250	15.781	 0.000	                        
 0.730	 0.810	12.761	 4.620	                        
 0.070	 0.070	 0.000	 0.000	                        
 1.950	 2.050	26.910	 0.000	                        
 3.860	 4.220	25.128	 0.000	                        
 2.340	 2.440	35.506	 0.000	                        
 4.080	 4.380	37.782	18.480	                        
 1.030	 1.090	26.771	13.090	                        
 3.680	 4.050	38.890	 0.000	                        
 0.330	 0.350	16.348	 0.000	                        
 1.090	 2.040	31.375	 0.000	                        
 0.850	 1.640	34.596	 0.000	                        
 1.170	 1.370	32.246	 0.000	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.660	 0.680	 3.423	 1.540	                        
 2.030	 2.160	32.888	16.170	                        
 1.070	 1.170	41.810	 5.390	                        
 1.110	 1.160	23.863	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 0.490	 0.810	30.530	 0.000	                        
 3.260	 3.440	27.650	 0.000	                        
 0.790	 0.810	66.115	21.560	                        
 3.620	 3.830	41.829	 0.000	                        
 1.790	 1.900	50.615	 0.000	                        
 1.290	 1.460	17.811	 0.000	                        
 0.420	 0.630	16.359	 0.000	                        
 2.480	 2.760	20.692	 0.000	                        
 0.190	 0.210	19.304	 6.930	                        
 2.000	 2.080	48.046	17.710	                        
 0.700	 0.790	21.011	10.010	                        
 0.070	 0.070	 0.000	 0.000	                        
 1.230	 1.970	42.150	 0.000	                        
 0.470	 0.850	20.241	 0.000	                        
 2.520	 2.800	21.594	 0.000	                        
 0.010	 0.010	 0.000	 0.000	                        
 2.080	 2.530	22.610	10.780	                        
 0.150	 0.180	 0.000	 0.000	                        
 0.240	 0.270	22.209	 6.930	                        
 1.460	 2.270	26.550	 0.000	                        
 1.910	 2.050	36.455	13.860	                        
 1.380	 1.470	32.444	14.630	                        
 0.320	 0.380	23.903	 8.470	                        
 1.900	 2.500	26.577	 0.000	                        
 2.270	 2.570	11.858	 3.080	                        
 3.390	 3.550	34.968	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 0.490	 0.540	37.890	18.480	                        
 2.270	 2.390	11.113	 1.540	                        
 0.570	 0.620	31.529	 0.000	                        
 1.040	 1.780	17.318	 8.470	                        
 0.930	 1.820	33.346	 0.000	                        
 1.050	 1.970	28.519	 0.000	                        
 1.200	 1.390	26.836	 0.000	                        
 2.120	 2.260	37.724	12.320	                        
 1.020	 1.150	18.325	 0.000	                        
 0.850	 0.960	18.972	 9.240	                        
 0.100	 0.100	 0.000	 0.000	                        
 1.460	 1.570	46.860	 0.000	                        
 0.390	 0.880	16.437	 0.000	                        
 2.120	 2.270	35.791	17.710	                        
 1.100	 1.550	34.846	 0.000	                        
 1.480	 1.610	19.122	 6.930	                        
 1.940	 2.320	33.661	 0.000	                        
 1.010	 1.200	24.261	 0.000	                        
 2.000	 2.790	22.132	 0.000	                        
 1.450	 2.250	28.227	10.010	                        
 0.780	 0.800	45.929	10.780	                        
 0.290	 0.330	32.966	 0.000	                        
 2.410	 2.590	38.913	 9.240	                        
 0.830	 0.890	28.124	 4.620	                        
 1.050	 1.390	14.836	 0.000	                        
 2.550	 3.160	22.838	10.010	                        
 0.770	 1.300	32.657	 0.000	                        
 0.120	 0.120	 0.000	 0.000	                        
 0.330	 0.570	19.752	 7.700	                        
 1.070	 1.180	31.566	15.400	                        
 2.170	 2.480	28.735	 0.000	                        
 2.120	 2.430	24.593	10.010	                        
 0.430	 0.540	21.493	 0.000	                        
 1.750	 1.860	27.050	 0.000	                        
 1.780	 2.350	38.666	13.090	                        
 1.890	 2.050	35.568	 0.000	                        
 0.150	 0.150	 0.000	 0.000	                        
 2.570	 2.720	22.080	10.010	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.110	 0.130	 0.000	 0.000	                        
 2.920	 3.130	19.344	 0.000	                        
 2.340	 2.430	28.308	10.010	                        
 0.170	 0.220	12.478	 0.000	                        
 0.210	 0.290	29.120	 4.620	                        
 1.550	 2.300	18.787	 0.000	                        
 1.900	 2.500	29.444	 0.000	                        
 2.390	 4.070	12.852	 6.160	                        
 0.580	 1.190	24.915	 0.000	                        
 1.120	 1.210	47.503	23.100	                        
 2.660	 2.760	30.161	13.090	                        
 1.940	 3.260	19.737	 0.000	                        
 1.380	 1.860	39.579	13.090	                        
 0.660	 0.730	22.206	10.010	                        
 0.890	 1.290	25.053	11.550	                        
 0.280	 0.300	24.179	 6.160	                        
 1.960	 2.590	26.234	13.090	                        
 0.250	 0.280	15.123	 0.000	                        
 3.010	 4.200	25.338	 0.000	                        
 0.160	 0.160	 0.000	 0.000	                        
 2.080	 2.200	21.054	 0.000	                        
 0.860	 0.930	33.397	 0.000	                        
 0.550	 0.710	31.360	 0.000	                        
 0.420	 0.450	32.601	14.630	                        
 0.890	 0.930	48.132	23.870	                        
 0.130	 0.140	 0.000	 0.000	                        
 0.270	 0.530	18.422	 0.000	                        
 0.220	 0.230	32.928	 0.000	                        
 1.300	 2.630	44.964	17.710	                        
 1.380	 1.480	45.236	17.710	                        
 0.020	 0.020	 0.000	 0.000	                        
 0.930	 1.020	21.136	 0.000	                        
 1.490	 2.640	29.070	 0.000	                        
 1.560	 1.830	25.126	 0.000	                        
 0.660	 1.350	22.694	 0.000	                        
 1.220	 2.030	23.064	 0.000	                        
 0.270	 0.280	14.009	 5.390	                        
 1.960	 2.880	25.841	 0.000	                        
 1.220	 1.280	20.814	10.010	                        
 2.590	 2.790	23.789	 0.000	                        
 0.020	 0.020	 0.000	 0.000	                        
 0.190	 0.190	 0.000	 0.000	                        
 1.260	 1.760	24.838	 0.000	                        
 0.400	 0.490	20.639	 0.000	                        
 1.910	 2.090	26.237	 0.000	                        
 0.140	 0.140	 0.000	 0.000	                        
 3.320	 3.500	26.267	 0.000	                        
 0.170	 0.180	 0.000	 0.000	                        
 2.520	 2.700	36.264	10.010	                        
 0.360	 0.390	26.839	12.320	                        
 0.650	 0.760	17.383	 8.470	                        
 1.820	 2.420	28.078	 0.000	                        
 2.280	 2.380	41.571	20.020	                        
 2.210	 3.590	33.572	16.170	                        
 3.370	 3.770	21.316	 0.000	                        
 2.200	 2.410	34.507	14.630	                        
 0.250	 0.250	25.320	10.780	                        
 1.130	 1.190	21.968	10.780	                        
 0.170	 0.180	 0.000	 0.000	                        
 0.680	 0.720	25.296	 6.930	                        
 1.080	 1.470	39.776	19.250	                        
 0.160	 0.180	 0.000	 0.000	                        
 0.070	 0.070	 0.000	 0.000	                        
 2.030	 2.270	29.395	 0.000	                        
 0.280	 0.280	39.188	19.250	                        
 0.020	 0.020	 0.000	 0.000	                        
 1.950	 2.570	24.413	 0.000	                        
 1.640	 1.740	19.532	 0.000	                        
 0.480	 0.520	25.120	 8.470	                        
 0.640	 1.110	20.056	 0.000	                        
 1.150	 2.010	27.641	 0.000	                        
 0.510	 0.870	35.271	 0.000	                        
 0.950	 2.190	24.323	 0.000	                        
 0.370	 0.750	17.520	 0.000	                        
 0.640	 0.730	21.861	10.780	                        
 0.470	 0.510	16.858	 0.000	                        
 0.030	 0.030	 0.000	 0.000	                        
 0.110	 0.110	 0.000	 0.000	                        
 0.870	 0.870	36.581	 9.240	                        
 0.910	 0.960	20.940	 9.240	                        
 0.880	 1.420	27.433	 0.000	                        
 1.790	 2.750	36.178	10.010	                        
 0.140	 0.150	 0.000	 0.000	                        
 0.170	 0.180	 0.000	 0.000	                        
 0.160	 0.160	 0.000	 0.000	                        
 3.350	 4.510	31.596	 0.000	                        
 0.380	 0.400	14.483	 6.930	                        
 0.160	 0.180	 0.000	 0.000	                        
 0.320	 0.330	10.425	 1.540	                        
 0.520	 0.620	26.245	13.090	                        
 0.400	 0.570	33.793	 0.000	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.670	 0.720	22.292	 9.240	                        
 0.850	 1.420	18.541	 0.000	                        
 0.610	 0.810	19.870	 9.240	                        
 0.110	 0.110	 0.000	 0.000	                        
 1.330	 1.460	29.276	14.630	                        
 0.570	 0.590	24.171	10.780	                        
 1.540	 2.230	49.678	 0.000	                        
 1.870	 2.200	28.754	 0.000	                        
 1.210	 2.030	41.321	13.860	                        
 0.600	 0.810	21.972	 0.000	                        
 2.600	 2.760	25.104	 6.160	                        
 0.340	 0.360	19.025	 4.620	                        
 1.650	 2.330	30.117	13.090	                        
 1.840	 1.940	25.750	10.780	                        
 0.340	 0.390	23.014	 0.000	                        
 0.530	 0.590	20.572	 4.620	                        
 0.550	 0.600	37.462	 0.000	                        
 1.820	 2.120	26.706	 0.000	                        
 0.140	 0.140	 0.000	 0.000	                        
 0.200	 0.210	14.666	 6.930	                        
 2.430	 3.340	10.718	 4.620	                        
 1.970	 2.740	25.409	 0.000	                        
 0.130	 0.130	 0.000	 0.000	                        
 1.650	 1.780	40.188	19.250	                        
 1.170	 2.100	30.448	 0.000	                        
 2.490	 2.690	16.685	 0.000	                        
 2.740	 4.040	35.305	13.860	                        
 1.550	 1.960	23.568	 0.000	                        
 0.150	 0.170	 0.000	 0.000	                        
 0.550	 1.020	21.963	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 0.180	 0.180	 0.000	 0.000	                        
 2.460	 2.680	22.278	 8.470	                        
 0.120	 0.140	 0.000	 0.000	                        
 0.330	 0.350	20.564	 0.000	                        
 0.170	 0.170	 0.000	 0.000	                        
 1.280	 1.380	24.657	10.780	                        
 0.440	 0.490	22.868	 6.160	                        
 2.800	 2.930	39.628	 8.470	                        
 0.190	 0.190	 0.000	 0.000	                        
 0.210	 0.230	93.525	 9.240	                        
 1.590	 1.770	21.975	 0.000	                        
 2.050	 2.480	45.115	 6.160	                        
 0.480	 0.500	17.764	 8.470	                        
 0.070	 0.070	 0.000	 0.000	                        
 1.780	 2.720	19.053	 0.000	                        
 0.560	 1.240	22.825	 0.000	                        
 0.770	 0.820	22.791	10.780	                        
 0.150	 0.160	 0.000	 0.000	                        
 0.140	 0.150	 0.000	 0.000	                        
 0.220	 0.240	11.877	 3.850	                        
 0.720	 0.790	14.965	 6.930	                        
 0.170	 0.170	 0.000	 0.000	                        
 1.250	 1.460	30.739	 0.000	                        
 1.090	 1.150	31.328	 0.000	                        
 2.340	 2.510	10.903	 4.620	                        
 1.060	 1.150	30.437	13.090	                        
 0.140	 0.150	 0.000	 0.000	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.510	 0.740	18.165	 0.000	                        
 0.310	 0.330	16.300	 7.700	                        
 0.960	 1.660	28.132	 0.000	                        
 2.120	 2.720	31.411	 0.000	                        
 2.140	 2.440	32.011	 0.000	                        
 0.540	 0.660	18.540	 0.000	                        
 0.460	 0.480	27.692	 0.000	                        
 0.770	 1.100	24.684	 0.000	                        
 0.040	 0.040	 0.000	 0.000	                        
 1.850	 2.360	19.562	 0.000	                        
 1.060	 1.530	26.549	 0.000	                        
 0.680	 0.780	18.689	 9.240	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.110	 0.110	 0.000	 0.000	                        
 0.950	 1.070	17.887	 0.000	                        
 0.520	 0.810	22.262	 0.000	                        
 2.040	 2.860	24.185	 0.000	                        
 0.020	 0.020	 0.000	 0.000	                        
 2.490	 2.680	23.279	10.010	                        
 0.130	 0.130	 0.000	 0.000	                        
 2.830	 3.040	39.691	 0.000	                        
 1.100	 1.130	21.115	 0.000	                        
 0.710	 0.790	17.906	 0.000	                        
 1.690	 3.810	27.361	 0.000	                        
 0.470	 0.550	13.855	 0.000	                        
 1.440	 1.830	38.142	14.630	                        
 0.350	 0.400	 7.943	 1.540	                        
 1.110	 1.280	29.067	 0.000	                        
 0.240	 0.240	18.967	 6.160	                        
 2.680	 3.560	28.824	 0.000	                        
 1.250	 1.880	24.851	12.320	                        
 0.720	 0.760	25.483	 0.000	                        
 0.100	 0.100	 0.000	 0.000	                        
 0.770	 0.810	28.443	12.320	                        
 3.340	 3.470	41.859	20.790	                        
 1.640	 1.730	35.598	16.170	                        
 1.310	 1.400	34.679	 0.000	                        
 2.860	 3.130	32.220	 0.000	                        
 1.220	 1.840	42.779	 0.000	                        
 3.030	 3.310	30.279	13.090	                        
 4.540	 4.920	40.324	 0.000	                        
 2.050	 2.310	35.491	 0.000	                        
 4.190	 4.410	27.025	 0.000	                        
 3.250	 3.510	29.460	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 0.610	 0.650	18.030	 0.000	                        
 2.560	 2.750	18.359	 0.000	                        
 0.160	 0.170	 0.000	 0.000	                        
 0.920	 1.380	33.685	 0.000	                        
 1.360	 2.270	24.156	 0.000	                        
 0.600	 0.940	27.300	 0.000	                        
 0.160	 0.160	 0.000	 0.000	                        
 2.230	 2.360	 0.000	 0.000	                        
